단축코드,표준코드,한글명,상장일자
102460,KR7102460003,이연제약,20100610
103140,KR7103140000,풍산,20080730
103590,KR7103590006,일진전기,20080801
105560,KR7105560007,KB금융,20081010
105630,KR7105630008,한세실업,20090320
105840,KR7105840003,우진,20100726
108320,KR7108320003,LX세미콘,20221103
108670,KR7108670001,LX하우시스,20090420
111770,KR7111770004,영원무역,20090730
112610,KR7112610001,씨에스윈드,20141127
114090,KR7114090004,GKL,20091119
117580,KR7117580001,대성에너지,20101224
120110,KR7120110002,코오롱인더,20100201
126560,KR7126560002,현대퓨처넷,20101223
126720,KR7126720002,수산인더스트리,20220801
128940,KR7128940004,한미약품,20100730
130660,KR7130660004,한전산업,20101216
137310,KR7137310009,에스디바이오센서,20210716
138040,KR7138040001,메리츠금융지주,20110513
138490,KR7138490008,코오롱ENP,20110615
138930,KR7138930003,BNK금융지주,20110330
139130,KR7139130009,iM금융지주,20110607
139480,KR7139480008,이마트,20110610
145720,KR7145720009,덴티움,20170315
145990,KR7145990008,삼양사,20111205
161000,KR7161000005,애경케미칼,20120917
161390,KR7161390000,한국타이어앤테크놀로지,20121004
161890,KR7161890009,한국콜마,20121019
170900,KR7170900005,동아에스티,20130408
175330,KR7175330000,JB금융지주,20130718
178920,KR7178920005,PI첨단소재,20210809
180640,KR7180640005,한진칼,20130916
181710,KR7181710005,NHN,20130829
185750,KR7185750007,종근당,20131206
192080,KR7192080000,더블유게임즈,20190312
192650,KR7192650000,드림텍,20190314
192820,KR7192820009,코스맥스,20140407
194370,KR7194370003,제이에스코퍼레이션,20160204
195870,KR7195870001,해성디에스,20160624
200880,KR7200880003,서연이화,20140808
204320,KR7204320006,HL만도,20141006
207940,KR7207940008,삼성바이오로직스,20161110
210980,KR7210980009,SK디앤디,20150623
214420,KR7214420002,토니모리,20150710
229640,KR7229640008,LS에코에너지,20160922
241560,KR7241560002,두산밥캣,20161118
241590,KR7241590009,화승엔터프라이즈,20161004
248070,KR7248070005,솔루엠,20210202
249420,KR7249420001,일동제약,20160831
251270,KR7251270005,넷마블,20170512
259960,KR7259960003,크래프톤,20210810
267250,KR7267250009,HD현대,20170510
267260,KR7267260008,HD현대일렉트릭,20170510
267270,KR7267270007,HD현대건설기계,20170510
267850,KR7267850006,아시아나IDT,20181123
271560,KR7271560005,오리온,20170707
271940,KR7271940009,일진하이솔루스,20210901
272210,KR7272210006,한화시스템,20191113
272450,KR7272450008,진에어,20171208
278470,KR7278470000,에이피알,20240227
280360,KR7280360009,롯데웰푸드,20171030
281820,KR7281820001,케이씨텍,20171205
282330,KR7282330000,BGF리테일,20171208
285130,KR7285130001,SK케미칼,20180105
286940,KR7286940002,롯데이노베이트,20180727
294870,KR7294870001,HDC현대산업개발,20180612
298000,KR7298000001,효성화학,20180713
298020,KR7298020009,효성티앤씨,20180713
298040,KR7298040007,효성중공업,20180713
298050,KR7298050006,HS효성첨단소재,20180713
300720,KR7300720000,한일시멘트,20180806
302440,KR7302440003,SK바이오사이언스,20210318
307950,KR7307950006,현대오토에버,20190328
316140,KR7316140003,우리금융지주,20190213
322000,KR7322000001,HD현대에너지솔루션,20191119
323410,KR7323410001,카카오뱅크,20210806
326030,KR7326030004,SK바이오팜,20200702
336260,KR7336260005,두산퓨얼셀,20191018
336370,KR7336370002,솔루스첨단소재,20191018
339770,KR7339770000,교촌에프앤비,20201112
352820,KR7352820005,하이브,20201015
353200,KR7353200009,대덕전자,20200521
361610,KR7361610009,SK아이이테크놀로지,20210511
363280,KR7363280009,티와이홀딩스,20200922
373220,KR7373220003,LG에너지솔루션,20220127
375500,KR7375500006,DL이앤씨,20210125
377300,KR7377300009,카카오페이,20211103
377740,KR7377740006,바이오노트,20221222
381970,KR7381970003,케이카,20211013
383220,KR7383220001,F&F,20210521
383800,KR7383800000,LX홀딩스,20210527
402340,KR7402340004,SK스퀘어,20211129
443060,KR7443060009,HD현대마린솔루션,20240508
450080,KR7450080007,에코프로머티,20231117
453340,KR7453340002,현대그린푸드,20230410
454910,KR7454910001,두산로보틱스,20231005
456040,KR7456040005,OCI,20230530
457190,KR7457190007,이수스페셜티케미컬,20230531
460850,KR7460850001,동국씨엠,20230616
460860,KR7460860000,동국제강,20230616
462870,KR7462870007,시프트업,20240711
475150,KR7475150009,SK이터닉스,20240329
475560,KR7475560009,더본코리아,20241106
483650,KR7483650008,달바글로벌,20250522
484870,KR7484870001,엠앤씨솔루션,20241216
487570,KR7487570004,HS효성,20240729
489790,KR7489790006,한화비전,20240927
